linesOfCode,numberOfNodes,numberOfCauses,numberOfLocations,duration
3,8,2,2,8
7,28,2,2,12
7,28,4,4,14
7,28,6,6,18
12,48,2,2,19
12,48,4,4,24
12,48,6,6,33
12,48,8,8,55
12,48,10,10,64
13,48,12,12,97
17,68,2,2,34
17,68,4,4,40
17,68,6,6,50
17,68,8,8,69
17,68,10,10,88
17,68,12,12,126
17,68,14,14,178
17,68,16,16,251
22,88,2,2,53
22,88,4,4,61
22,88,6,6,74
22,88,8,8,96
22,88,10,10,117
22,88,12,12,157
22,88,14,14,208
22,88,16,16,288
22,88,18,18,392
22,88,20,20,536
23,88,22,22,732
27,108,2,2,74
27,108,4,4,83
27,108,6,6,103
27,108,8,8,120
27,108,10,10,150
27,108,12,12,190
27,108,14,14,253
27,108,16,16,337
27,108,18,18,447
27,108,20,20,593
27,108,22,22,790
27,108,24,24,1051
27,108,26,26,1380
32,128,2,2,104
32,128,4,4,116
32,128,6,6,139
32,128,8,8,158
32,128,10,10,184
32,128,12,12,233
32,128,14,14,291
32,128,16,16,389
32,128,18,18,496
32,128,20,20,644
32,128,22,22,850
32,128,24,24,1099
32,128,26,26,1459
32,128,28,28,1842
32,128,30,30,2406
37,148,2,2,130
37,148,4,4,152
37,148,6,6,169
37,148,8,8,200
37,148,10,10,225
37,148,12,12,276
37,148,14,14,339
37,148,16,16,430
37,148,18,18,558
37,148,20,20,711
37,148,22,22,926
37,148,24,24,1188
37,148,26,26,1528
37,148,28,28,1948
37,148,30,30,2465
42,168,2,2,167
42,168,4,4,192
42,168,6,6,206
42,168,8,8,241
42,168,10,10,282
42,168,12,12,334
42,168,14,14,395
42,168,16,16,484
42,168,18,18,608
42,168,20,20,785
42,168,22,22,994
42,168,24,24,1261
42,168,26,26,1622
42,168,28,28,2045
42,168,30,30,2541
47,188,2,2,205
47,188,4,4,229
47,188,6,6,252
47,188,8,8,285
47,188,10,10,325
47,188,12,12,390
47,188,14,14,449
47,188,16,16,547
47,188,18,18,681
47,188,20,20,849
47,188,22,22,1060
47,188,24,24,1365
47,188,26,26,1691
47,188,28,28,2131
47,188,30,30,2673
52,208,2,2,258
52,208,4,4,301
52,208,6,6,307
52,208,8,8,363
52,208,10,10,390
52,208,12,12,434
52,208,14,14,511
52,208,16,16,617
52,208,18,18,750
52,208,20,20,926
52,208,22,22,1160
52,208,24,24,1441
52,208,26,26,1781
52,208,28,28,2257
52,208,30,30,2795
57,228,2,2,300
57,228,4,4,328
57,228,6,6,352
57,228,8,8,392
57,228,10,10,438
57,228,12,12,497
57,228,14,14,573
57,228,16,16,688
57,228,18,18,834
57,228,20,20,1017
57,228,22,22,1254
57,228,24,24,1543
57,228,26,26,1925
57,228,28,28,2374
57,228,30,30,2880
62,248,2,2,366
62,248,4,4,387
62,248,6,6,412
62,248,8,8,456
62,248,10,10,493
62,248,12,12,579
62,248,14,14,661
62,248,16,16,763
62,248,18,18,913
62,248,20,20,1097
62,248,22,22,1330
62,248,24,24,1612
62,248,26,26,1909
62,248,28,28,2454
62,248,30,30,2994
67,268,2,2,403
67,268,4,4,439
67,268,6,6,474
67,268,8,8,504
67,268,10,10,573
67,268,12,12,633
67,268,14,14,726
67,268,16,16,843
67,268,18,18,994
67,268,20,20,1188
67,268,22,22,1419
67,268,24,24,1755
67,268,26,26,2129
67,268,28,28,2586
67,268,30,30,3140
72,288,2,2,467
72,288,4,4,490
72,288,6,6,530
72,288,8,8,570
72,288,10,10,637
72,288,12,12,714
72,288,14,14,804
72,288,16,16,936
72,288,18,18,1079
72,288,20,20,1261
72,288,22,22,1517
72,288,24,24,1838
72,288,26,26,2225
72,288,28,28,2641
72,288,30,30,3203
77,308,2,2,526
77,308,4,4,564
77,308,6,6,617
77,308,8,8,656
77,308,10,10,721
77,308,12,12,779
77,308,14,14,890
77,308,16,16,1014
77,308,18,18,1183
77,308,20,20,1386
77,308,22,22,1629
77,308,24,24,1953
77,308,26,26,2333
77,308,28,28,2786
77,308,30,30,3345
82,328,2,2,601
82,328,4,4,645
82,328,6,6,685
82,328,8,8,733
82,328,10,10,803
82,328,12,12,883
82,328,14,14,986
82,328,16,16,1129
82,328,18,18,1274
82,328,20,20,1483
82,328,22,22,1732
82,328,24,24,2058
82,328,26,26,2447
82,328,28,28,2905
82,328,30,30,3483
87,348,2,2,675
87,348,4,4,732
87,348,6,6,771
87,348,8,8,823
87,348,10,10,898
87,348,12,12,972
87,348,14,14,1081
87,348,16,16,1218
87,348,18,18,1373
87,348,20,20,1582
87,348,22,22,1840
87,348,24,24,2178
87,348,26,26,2555
87,348,28,28,3026
87,348,30,30,3609
92,368,2,2,767
92,368,4,4,808
92,368,6,6,854
92,368,8,8,912
92,368,10,10,980
92,368,12,12,1080
92,368,14,14,1186
92,368,16,16,1300
92,368,18,18,1490
92,368,20,20,1698
92,368,22,22,1944
92,368,24,24,2273
92,368,26,26,2694
92,368,28,28,3146
92,368,30,30,3723
97,388,2,2,843
97,388,4,4,888
97,388,6,6,944
97,388,8,8,1011
97,388,10,10,1083
97,388,12,12,1171
97,388,14,14,1270
97,388,16,16,1424
97,388,18,18,1583
97,388,20,20,1808
97,388,22,22,2059
97,388,24,24,2393
97,388,26,26,2779
97,388,28,28,3254
97,388,30,30,3819
102,408,2,2,944
102,408,4,4,992
102,408,6,6,1044
102,408,8,8,1107
102,408,10,10,1180
102,408,12,12,1262
102,408,14,14,1361
102,408,16,16,1519
102,408,18,18,1697
102,408,20,20,1927
102,408,22,22,2174
102,408,24,24,2498
102,408,26,26,2893
102,408,28,28,3349
102,408,30,30,3942
107,428,2,2,1022
107,428,4,4,1085
107,428,6,6,1128
107,428,8,8,1195
107,428,10,10,1272
107,428,12,12,1359
107,428,14,14,1471
107,428,16,16,1614
107,428,18,18,1788
107,428,20,20,2012
107,428,22,22,2268
107,428,24,24,2583
107,428,26,26,2983
107,428,28,28,3450
107,428,30,30,4013
112,448,2,2,1114
112,448,4,4,1176
112,448,6,6,1224
112,448,8,8,1291
112,448,10,10,1384
112,448,12,12,1469
112,448,14,14,1588
112,448,16,16,1726
112,448,18,18,1912
112,448,20,20,2127
112,448,22,22,2393
112,448,24,24,2717
112,448,26,26,3117
112,448,28,28,3579
112,448,30,30,4149
117,468,2,2,1233
117,468,4,4,1272
117,468,6,6,1336
117,468,8,8,1416
117,468,10,10,1480
117,468,12,12,1577
117,468,14,14,1711
117,468,16,16,1849
117,468,18,18,2023
117,468,20,20,2255
117,468,22,22,2499
117,468,24,24,2847
117,468,26,26,3249
117,468,28,28,3737
117,468,30,30,4303
122,488,2,2,1322
122,488,4,4,1374
122,488,6,6,1448
122,488,8,8,1515
122,488,10,10,1590
122,488,12,12,1688
122,488,14,14,1815
122,488,16,16,1958
122,488,18,18,2161
122,488,20,20,2366
122,488,22,22,2646
122,488,24,24,2962
122,488,26,26,3389
122,488,28,28,3875
122,488,30,30,4420
127,508,2,2,1421
127,508,4,4,1481
127,508,6,6,1561
127,508,8,8,1618
127,508,10,10,1687
127,508,12,12,1807
127,508,14,14,1997
127,508,16,16,2107
127,508,18,18,2300
127,508,20,20,2492
127,508,22,22,2760
127,508,24,24,3097
127,508,26,26,3540
127,508,28,28,4136
127,508,30,30,4443
132,528,2,2,1627
132,528,4,4,1713
132,528,6,6,1903
132,528,8,8,1756
132,528,10,10,1841
132,528,12,12,1964
132,528,14,14,2444
132,528,16,16,2402
132,528,18,18,2405
132,528,20,20,2718
132,528,22,22,3422
132,528,24,24,3354
132,528,26,26,3813
132,528,28,28,4293
132,528,30,30,4703
137,548,2,2,1655
137,548,4,4,1732
137,548,6,6,1767
137,548,8,8,1978
137,548,10,10,2057
137,548,12,12,2016
137,548,14,14,2176
137,548,16,16,3676
137,548,18,18,3564
137,548,20,20,3608
137,548,22,22,3252
137,548,24,24,3432
137,548,26,26,3776
137,548,28,28,4437
137,548,30,30,5574
142,568,2,2,1845
142,568,4,4,1957
142,568,6,6,1939
142,568,8,8,2017
142,568,10,10,2083
142,568,12,12,2209
142,568,14,14,2281
142,568,16,16,2638
142,568,18,18,3001
142,568,20,20,3180
142,568,22,22,3650
142,568,24,24,3669
142,568,26,26,4039
142,568,28,28,4495
142,568,30,30,4988
147,588,2,2,1983
147,588,4,4,2046
147,588,6,6,2121
147,588,8,8,2208
147,588,10,10,2299
147,588,12,12,2420
147,588,14,14,2543
147,588,16,16,2717
147,588,18,18,2905
147,588,20,20,3156
147,588,22,22,3439
147,588,24,24,3767
147,588,26,26,4146
147,588,28,28,4655
147,588,30,30,5192
152,608,2,2,2098
152,608,4,4,2197
152,608,6,6,2254
152,608,8,8,2358
152,608,10,10,2461
152,608,12,12,2569
152,608,14,14,2698
152,608,16,16,2860
152,608,18,18,3057
152,608,20,20,3290
152,608,22,22,3577
152,608,24,24,3958
152,608,26,26,4353
152,608,28,28,4812
152,608,30,30,5363
157,628,2,2,2238
157,628,4,4,2326
157,628,6,6,2392
157,628,8,8,2480
