linesOfCode,numberOfNodes,numberOfCauses,numberOfLocations,duration
157,628,10,10,2574
157,628,12,12,2714
157,628,14,14,2835
157,628,16,16,3013
157,628,18,18,3244
157,628,20,20,3458
157,628,22,22,3709
157,628,24,24,4077
157,628,26,26,4485
157,628,28,28,4989
157,628,30,30,5535
162,648,2,2,2503
162,648,4,4,2482
162,648,6,6,2581
162,648,8,8,2734
162,648,10,10,2796
162,648,12,12,2851
162,648,14,14,3065
162,648,16,16,3178
162,648,18,18,3356
162,648,20,20,3609
162,648,22,22,3920
162,648,24,24,4234
162,648,26,26,4656
162,648,28,28,5128
162,648,30,30,5680
167,668,2,2,2532
167,668,4,4,2617
167,668,6,6,2667
167,668,8,8,2741
167,668,10,10,2871
167,668,12,12,2969
167,668,14,14,3124
167,668,16,16,3323
167,668,18,18,3473
167,668,20,20,3727
167,668,22,22,3973
167,668,24,24,4349
167,668,26,26,4780
167,668,28,28,5246
167,668,30,30,5819
172,688,2,2,2654
172,688,4,4,2715
172,688,6,6,2795
172,688,8,8,2884
172,688,10,10,3060
172,688,12,12,3140
172,688,14,14,3283
172,688,16,16,3447
172,688,18,18,3671
172,688,20,20,3915
172,688,22,22,4145
172,688,24,24,4533
172,688,26,26,4944
172,688,28,28,5434
172,688,30,30,5974
177,708,2,2,2783
177,708,4,4,2862
177,708,6,6,2959
177,708,8,8,3046
177,708,10,10,3162
177,708,12,12,3301
177,708,14,14,3466
177,708,16,16,3617
177,708,18,18,3823
177,708,20,20,4077
177,708,22,22,4334
177,708,24,24,4671
177,708,26,26,5078
177,708,28,28,5573
177,708,30,30,6140
182,728,2,2,2920
182,728,4,4,2995
182,728,6,6,3096
182,728,8,8,3206
182,728,10,10,3302
182,728,12,12,3422
182,728,14,14,3583
182,728,16,16,3790
182,728,18,18,3994
182,728,20,20,4274
182,728,22,22,4525
182,728,24,24,4861
182,728,26,26,5241
182,728,28,28,5769
182,728,30,30,6344
187,748,2,2,3200
187,748,4,4,3305
187,748,6,6,3327
187,748,8,8,3382
187,748,10,10,3597
187,748,12,12,3697
187,748,14,14,3830
187,748,16,16,3972
187,748,18,18,4281
187,748,20,20,4438
187,748,22,22,4776
187,748,24,24,5188
187,748,26,26,5572
187,748,28,28,6053
187,748,30,30,6599
192,768,2,2,3347
192,768,4,4,3479
192,768,6,6,3428
192,768,8,8,3516
192,768,10,10,3764
192,768,12,12,3917
192,768,14,14,3911
192,768,16,16,3969
192,768,18,18,4156
192,768,20,20,4358
192,768,22,22,4867
192,768,24,24,5033
192,768,26,26,5425
192,768,28,28,5897
192,768,30,30,6410
197,788,2,2,3250
197,788,4,4,3345
197,788,6,6,3432
197,788,8,8,3552
197,788,10,10,3603
197,788,12,12,3803
197,788,14,14,3922
197,788,16,16,4087
197,788,18,18,4304
197,788,20,20,4576
197,788,22,22,4842
197,788,24,24,5154
197,788,26,26,5513
197,788,28,28,5966
197,788,30,30,6477
202,808,2,2,3346
202,808,4,4,3465
202,808,6,6,3534
202,808,8,8,3720
202,808,10,10,3784
202,808,12,12,3915
202,808,14,14,4102
202,808,16,16,4280
202,808,18,18,4500
202,808,20,20,4732
202,808,22,22,5037
202,808,24,24,5466
202,808,26,26,5787
202,808,28,28,6258
202,808,30,30,6847
207,828,2,2,3601
207,828,4,4,3727
207,828,6,6,3695
207,828,8,8,3889
207,828,10,10,3970
207,828,12,12,4135
207,828,14,14,4784
207,828,16,16,5550
207,828,18,18,4761
207,828,20,20,5051
207,828,22,22,5292
207,828,24,24,5687
207,828,26,26,6072
207,828,28,28,6506
207,828,30,30,7021
212,848,2,2,3745
212,848,4,4,3838
212,848,6,6,3911
212,848,8,8,3951
212,848,10,10,4213
212,848,12,12,4331
212,848,14,14,4436
212,848,16,16,4565
212,848,18,18,4721
212,848,20,20,4999
212,848,22,22,5309
212,848,24,24,5709
212,848,26,26,6107
212,848,28,28,6558
212,848,30,30,7112
217,868,2,2,3770
217,868,4,4,3887
217,868,6,6,3958
217,868,8,8,4063
217,868,10,10,4193
217,868,12,12,4356
217,868,14,14,4534
217,868,16,16,4770
217,868,18,18,4972
217,868,20,20,5226
217,868,22,22,5513
217,868,24,24,5892
217,868,26,26,6293
217,868,28,28,6801
217,868,30,30,7379
222,888,2,2,3955
222,888,4,4,4059
222,888,6,6,4159
222,888,8,8,4297
222,888,10,10,4396
222,888,12,12,4588
222,888,14,14,4725
222,888,16,16,4948
222,888,18,18,5153
222,888,20,20,5449
222,888,22,22,5728
222,888,24,24,6078
222,888,26,26,6513
222,888,28,28,6983
222,888,30,30,7586
227,908,2,2,4595
227,908,4,4,4655
227,908,6,6,4853
227,908,8,8,4925
227,908,10,10,5028
227,908,12,12,5211
227,908,14,14,5349
227,908,16,16,5570
227,908,18,18,5627
227,908,20,20,5981
227,908,22,22,6361
227,908,24,24,6818
227,908,26,26,7207
227,908,28,28,7722
227,908,30,30,8286
232,928,2,2,4786
232,928,4,4,4855
232,928,6,6,4773
232,928,8,8,5019
232,928,10,10,5114
232,928,12,12,4962
232,928,14,14,5148
232,928,16,16,5352
232,928,18,18,5547
232,928,20,20,5860
232,928,22,22,6175
232,928,24,24,6542
232,928,26,26,6945
232,928,28,28,7437
232,928,30,30,7919
237,948,2,2,4523
237,948,4,4,4711
237,948,6,6,4731
237,948,8,8,5143
237,948,10,10,4977
237,948,12,12,5160
237,948,14,14,5359
237,948,16,16,5574
237,948,18,18,5740
237,948,20,20,5899
237,948,22,22,6233
237,948,24,24,6684
237,948,26,26,7099
237,948,28,28,7428
237,948,30,30,8320
242,968,2,2,4698
242,968,4,4,4762
242,968,6,6,4897
242,968,8,8,5033
242,968,10,10,5166
242,968,12,12,5299
242,968,14,14,5829
242,968,16,16,5813
242,968,18,18,6101
242,968,20,20,6223
242,968,22,22,6535
242,968,24,24,6939
242,968,26,26,7750
242,968,28,28,7918
242,968,30,30,8484
247,988,2,2,4929
247,988,4,4,5109
247,988,6,6,5139
247,988,8,8,5276
247,988,10,10,5431
247,988,12,12,5581
247,988,14,14,5795
247,988,16,16,5970
247,988,18,18,6228
247,988,20,20,6490
247,988,22,22,6848
247,988,24,24,7189
247,988,26,26,7641
247,988,28,28,8140
247,988,30,30,8798
252,1008,2,2,5084
252,1008,4,4,5172
252,1008,6,6,5306
252,1008,8,8,5424
252,1008,10,10,5591
252,1008,12,12,5787
252,1008,14,14,5968
252,1008,16,16,6176
252,1008,18,18,6387
252,1008,20,20,6701
252,1008,22,22,7086
252,1008,24,24,7446
252,1008,26,26,7920
252,1008,28,28,8470
252,1008,30,30,9102
257,1028,2,2,5256
257,1028,4,4,5380
257,1028,6,6,5497
257,1028,8,8,5603
257,1028,10,10,5779
257,1028,12,12,5972
257,1028,14,14,6184
257,1028,16,16,6402
257,1028,18,18,6661
257,1028,20,20,6978
257,1028,22,22,7324
257,1028,24,24,7619
257,1028,26,26,8111
257,1028,28,28,8672
257,1028,30,30,9211
262,1048,2,2,5495
262,1048,4,4,5634
262,1048,6,6,5709
262,1048,8,8,5816
262,1048,10,10,6007
262,1048,12,12,6260
262,1048,14,14,6392
262,1048,16,16,6619
262,1048,18,18,6868
262,1048,20,20,7170
262,1048,22,22,7489
262,1048,24,24,7930
262,1048,26,26,8373
262,1048,28,28,8899
262,1048,30,30,9534
267,1068,2,2,5880
267,1068,4,4,5902
267,1068,6,6,5937
267,1068,8,8,6178
267,1068,10,10,6233
267,1068,12,12,6437
267,1068,14,14,6602
267,1068,16,16,6854
267,1068,18,18,7084
267,1068,20,20,7486
267,1068,22,22,7777
267,1068,24,24,8111
267,1068,26,26,8592
267,1068,28,28,9173
267,1068,30,30,9756
272,1088,2,2,5861
272,1088,4,4,5975
272,1088,6,6,6083
272,1088,8,8,6235
272,1088,10,10,6389
272,1088,12,12,6599
272,1088,14,14,6870
272,1088,16,16,7090
272,1088,18,18,7344
272,1088,20,20,7663
272,1088,22,22,8028
272,1088,24,24,8472
272,1088,26,26,8908
272,1088,28,28,9524
272,1088,30,30,10054
277,1108,2,2,6261
277,1108,4,4,6323
277,1108,6,6,6338
277,1108,8,8,6469
277,1108,10,10,6749
277,1108,12,12,6931
277,1108,14,14,7221
277,1108,16,16,7447
277,1108,18,18,7623
277,1108,20,20,7947
277,1108,22,22,8287
277,1108,24,24,8644
277,1108,26,26,9119
277,1108,28,28,9875
277,1108,30,30,10249
282,1128,2,2,6323
282,1128,4,4,6392
282,1128,6,6,6583
282,1128,8,8,6698
282,1128,10,10,6884
282,1128,12,12,7106
282,1128,14,14,7315
282,1128,16,16,7598
282,1128,18,18,7839
282,1128,20,20,8132
282,1128,22,22,8483
282,1128,24,24,9050
282,1128,26,26,10120
282,1128,28,28,9983
282,1128,30,30,10570
287,1148,2,2,6618
287,1148,4,4,6929
287,1148,6,6,7235
287,1148,8,8,7346
287,1148,10,10,7229
287,1148,12,12,7531
287,1148,14,14,7868
287,1148,16,16,7988
287,1148,18,18,8410
287,1148,20,20,8658
287,1148,22,22,8838
287,1148,24,24,9276
287,1148,26,26,9762
287,1148,28,28,10383
287,1148,30,30,10957
292,1168,2,2,6717
292,1168,4,4,6931
292,1168,6,6,7015
292,1168,8,8,7164
292,1168,10,10,7405
292,1168,12,12,7684
292,1168,14,14,7777
292,1168,16,16,8029
292,1168,18,18,8264
292,1168,20,20,8577
292,1168,22,22,8949
292,1168,24,24,9393
292,1168,26,26,9878
292,1168,28,28,10450
292,1168,30,30,11301
297,1188,2,2,7143
297,1188,4,4,7069
297,1188,6,6,7230
297,1188,8,8,7345
297,1188,10,10,7654
297,1188,12,12,7801
297,1188,14,14,8072
297,1188,16,16,8270
297,1188,18,18,8511
297,1188,20,20,8807
297,1188,22,22,9201
297,1188,24,24,9572
297,1188,26,26,10160
297,1188,28,28,10639
297,1188,30,30,11267
