linesOfCode,numberOfNodes,numberOfCauses,numberOfLocations,duration
102,408,28,28,3386
102,408,30,30,3964
107,428,2,2,1037
107,428,4,4,1080
107,428,6,6,1154
107,428,8,8,1198
107,428,10,10,1289
107,428,12,12,1367
107,428,14,14,1473
107,428,16,16,1614
107,428,18,18,1785
107,428,20,20,1999
107,428,22,22,2267
107,428,24,24,2605
107,428,26,26,2986
107,428,28,28,3464
107,428,30,30,4024
112,448,2,2,1125
112,448,4,4,1173
112,448,6,6,1234
112,448,8,8,1314
112,448,10,10,1368
112,448,12,12,1465
112,448,14,14,1583
112,448,16,16,1722
112,448,18,18,1907
112,448,20,20,2123
112,448,22,22,2404
112,448,24,24,2718
112,448,26,26,3122
112,448,28,28,3580
112,448,30,30,4140
117,468,2,2,1229
117,468,4,4,1287
117,468,6,6,1352
117,468,8,8,1409
117,468,10,10,1489
117,468,12,12,1573
117,468,14,14,1695
117,468,16,16,1849
117,468,18,18,2030
117,468,20,20,2265
117,468,22,22,2545
117,468,24,24,2855
117,468,26,26,3261
117,468,28,28,3745
117,468,30,30,4294
122,488,2,2,1345
122,488,4,4,1379
122,488,6,6,1442
122,488,8,8,1519
122,488,10,10,1587
122,488,12,12,1694
122,488,14,14,1823
122,488,16,16,1967
122,488,18,18,2154
122,488,20,20,2385
122,488,22,22,2644
122,488,24,24,2982
122,488,26,26,3386
122,488,28,28,3867
122,488,30,30,4464
127,508,2,2,1416
127,508,4,4,1488
127,508,6,6,1553
127,508,8,8,1612
127,508,10,10,1721
127,508,12,12,1796
127,508,14,14,1936
127,508,16,16,2090
127,508,18,18,2290
127,508,20,20,2507
127,508,22,22,2777
127,508,24,24,3112
127,508,26,26,3528
127,508,28,28,3996
127,508,30,30,4565
132,528,2,2,1546
132,528,4,4,1619
132,528,6,6,1656
132,528,8,8,1737
132,528,10,10,1813
132,528,12,12,1925
132,528,14,14,2067
132,528,16,16,2232
132,528,18,18,2397
132,528,20,20,2636
132,528,22,22,2933
132,528,24,24,3271
132,528,26,26,3682
132,528,28,28,4166
132,528,30,30,4751
137,548,2,2,1662
137,548,4,4,1710
137,548,6,6,1780
137,548,8,8,1871
137,548,10,10,1938
137,548,12,12,2051
137,548,14,14,2188
137,548,16,16,2316
137,548,18,18,2539
137,548,20,20,2793
137,548,22,22,3077
137,548,24,24,3413
137,548,26,26,3824
137,548,28,28,4300
137,548,30,30,4905
142,568,2,2,1769
142,568,4,4,1828
142,568,6,6,1898
142,568,8,8,1962
142,568,10,10,2084
142,568,12,12,2184
142,568,14,14,2319
142,568,16,16,2481
142,568,18,18,2694
142,568,20,20,2928
142,568,22,22,3218
142,568,24,24,3543
142,568,26,26,3971
142,568,28,28,4420
142,568,30,30,5029
147,588,2,2,1909
147,588,4,4,1952
147,588,6,6,2019
147,588,8,8,2089
147,588,10,10,2197
147,588,12,12,2316
147,588,14,14,2437
147,588,16,16,2616
147,588,18,18,2812
147,588,20,20,3103
147,588,22,22,3344
147,588,24,24,3694
147,588,26,26,4106
147,588,28,28,4632
147,588,30,30,5153
152,608,2,2,2031
152,608,4,4,2069
152,608,6,6,2141
152,608,8,8,2223
152,608,10,10,2330
152,608,12,12,2465
152,608,14,14,2609
152,608,16,16,2776
152,608,18,18,2979
152,608,20,20,3217
152,608,22,22,3508
152,608,24,24,3860
152,608,26,26,4276
152,608,28,28,4760
152,608,30,30,5339
157,628,2,2,2151
157,628,4,4,2197
157,628,6,6,2290
157,628,8,8,2356
157,628,10,10,2476
157,628,12,12,2621
157,628,14,14,2745
157,628,16,16,2923
157,628,18,18,3102
157,628,20,20,3367
157,628,22,22,3666
157,628,24,24,4013
157,628,26,26,4433
157,628,28,28,4944
157,628,30,30,5527
162,648,2,2,2299
162,648,4,4,2328
162,648,6,6,2385
162,648,8,8,2483
162,648,10,10,2619
162,648,12,12,2726
162,648,14,14,2902
162,648,16,16,3042
162,648,18,18,3268
162,648,20,20,3519
162,648,22,22,3812
162,648,24,24,4128
162,648,26,26,4556
162,648,28,28,5056
162,648,30,30,5624
167,668,2,2,2425
167,668,4,4,2481
167,668,6,6,2559
167,668,8,8,2637
167,668,10,10,2731
167,668,12,12,2865
167,668,14,14,3009
167,668,16,16,3190
167,668,18,18,3402
167,668,20,20,3669
167,668,22,22,3937
167,668,24,24,4311
167,668,26,26,4745
167,668,28,28,5230
167,668,30,30,5854
172,688,2,2,2552
172,688,4,4,2622
172,688,6,6,2723
172,688,8,8,2788
172,688,10,10,2883
172,688,12,12,3013
172,688,14,14,3176
172,688,16,16,3338
172,688,18,18,3551
172,688,20,20,3799
172,688,22,22,4122
172,688,24,24,4455
172,688,26,26,5013
172,688,28,28,5401
172,688,30,30,5953
177,708,2,2,2705
177,708,4,4,2832
177,708,6,6,2862
177,708,8,8,2988
177,708,10,10,3060
177,708,12,12,3205
177,708,14,14,3393
177,708,16,16,3510
177,708,18,18,3764
177,708,20,20,3968
177,708,22,22,4369
177,708,24,24,4599
177,708,26,26,5051
177,708,28,28,5540
177,708,30,30,6168
182,728,2,2,2805
182,728,4,4,2907
182,728,6,6,2988
182,728,8,8,3087
182,728,10,10,3208
182,728,12,12,3350
182,728,14,14,3465
182,728,16,16,3658
182,728,18,18,3875
182,728,20,20,4121
182,728,22,22,4416
182,728,24,24,4810
182,728,26,26,5228
182,728,28,28,5749
